@relation 'reduced_clean_mobile_data-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R1,3,5,7,8,9,11,12,13,14,15,16,17-precision6-weka.filters.unsupervised.attribute.Discretize-B8-M-1.0-R10-precision6'

@attribute battery_power {'\'(-inf-650.7]\'','\'(650.7-800.4]\'','\'(800.4-950.1]\'','\'(950.1-1099.8]\'','\'(1099.8-1249.5]\'','\'(1249.5-1399.2]\'','\'(1399.2-1548.9]\'','\'(1548.9-1698.6]\'','\'(1698.6-1848.3]\'','\'(1848.3-inf)\''}
@attribute has_bluetooth {no,yes}
@attribute clock_speed {'\'(-inf-0.75]\'','\'(0.75-1]\'','\'(1-1.25]\'','\'(1.25-1.5]\'','\'(1.5-1.75]\'','\'(1.75-2]\'','\'(2-2.25]\'','\'(2.25-2.5]\'','\'(2.5-2.75]\'','\'(2.75-inf)\''}
@attribute has_dual_sim {no,yes}
@attribute front_camera_mp {'\'(-inf-1.9]\'','\'(1.9-3.8]\'','\'(3.8-5.7]\'','\'(5.7-7.6]\'','\'(7.6-9.5]\'','\'(9.5-11.4]\'','\'(11.4-13.3]\'','\'(13.3-15.2]\'','\'(15.2-17.1]\'','\'(17.1-inf)\''}
@attribute has_four_g {no,yes}
@attribute internal_memory {'\'(-inf-8.2]\'','\'(8.2-14.4]\'','\'(14.4-20.6]\'','\'(20.6-26.8]\'','\'(26.8-33]\'','\'(33-39.2]\'','\'(39.2-45.4]\'','\'(45.4-51.6]\'','\'(51.6-57.8]\'','\'(57.8-inf)\''}
@attribute mobile_depth {'\'(-inf-0.19]\'','\'(0.19-0.28]\'','\'(0.28-0.37]\'','\'(0.37-0.46]\'','\'(0.46-0.55]\'','\'(0.55-0.64]\'','\'(0.64-0.73]\'','\'(0.73-0.82]\'','\'(0.82-0.91]\'','\'(0.91-inf)\''}
@attribute mobile_weight {'\'(-inf-92]\'','\'(92-104]\'','\'(104-116]\'','\'(116-128]\'','\'(128-140]\'','\'(140-152]\'','\'(152-164]\'','\'(164-176]\'','\'(176-188]\'','\'(188-inf)\''}
@attribute num_cores {'\'(-inf-1.875]\'','\'(1.875-2.75]\'','\'(2.75-3.625]\'','\'(3.625-4.5]\'','\'(4.5-5.375]\'','\'(5.375-6.25]\'','\'(6.25-7.125]\'','\'(7.125-inf)\''}
@attribute primary_camera_mp {'\'(-inf-2]\'','\'(2-4]\'','\'(4-6]\'','\'(6-8]\'','\'(8-10]\'','\'(10-12]\'','\'(12-14]\'','\'(14-16]\'','\'(16-18]\'','\'(18-inf)\''}
@attribute pixels_height {'\'(-inf-196]\'','\'(196-392]\'','\'(392-588]\'','\'(588-784]\'','\'(784-980]\'','\'(980-1176]\'','\'(1176-1372]\'','\'(1372-1568]\'','\'(1568-1764]\'','\'(1764-inf)\''}
@attribute pixels_width {'\'(-inf-649.8]\'','\'(649.8-799.6]\'','\'(799.6-949.4]\'','\'(949.4-1099.2]\'','\'(1099.2-1249]\'','\'(1249-1398.8]\'','\'(1398.8-1548.6]\'','\'(1548.6-1698.4]\'','\'(1698.4-1848.2]\'','\'(1848.2-inf)\''}
@attribute ram {'\'(-inf-630.2]\'','\'(630.2-1004.4]\'','\'(1004.4-1378.6]\'','\'(1378.6-1752.8]\'','\'(1752.8-2127]\'','\'(2127-2501.2]\'','\'(2501.2-2875.4]\'','\'(2875.4-3249.6]\'','\'(3249.6-3623.8]\'','\'(3623.8-inf)\''}
@attribute screen_height {'\'(-inf-6.4]\'','\'(6.4-7.8]\'','\'(7.8-9.2]\'','\'(9.2-10.6]\'','\'(10.6-12]\'','\'(12-13.4]\'','\'(13.4-14.8]\'','\'(14.8-16.2]\'','\'(16.2-17.6]\'','\'(17.6-inf)\''}
@attribute screen_width {'\'(-inf-1.8]\'','\'(1.8-3.6]\'','\'(3.6-5.4]\'','\'(5.4-7.2]\'','\'(7.2-9]\'','\'(9-10.8]\'','\'(10.8-12.6]\'','\'(12.6-14.4]\'','\'(14.4-16.2]\'','\'(16.2-inf)\''}
@attribute talk_time {'\'(-inf-3.8]\'','\'(3.8-5.6]\'','\'(5.6-7.4]\'','\'(7.4-9.2]\'','\'(9.2-11]\'','\'(11-12.8]\'','\'(12.8-14.6]\'','\'(14.6-16.4]\'','\'(16.4-18.2]\'','\'(18.2-inf)\''}
@attribute has_three_g {no,yes}
@attribute has_touch_screen {no,yes}
@attribute has_wifi {yes,no}
@attribute price_category {not_high,high}

@data
'\'(1099.8-1249.5]\'',no,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'',no,'\'(39.2-45.4]\'','\'(0.82-0.91]\'','\'(188-inf)\'','\'(4.5-5.375]\'','\'(-inf-2]\'','\'(1176-1372]\'','\'(1249-1398.8]\'','\'(-inf-630.2]\'','\'(10.6-12]\'','\'(7.2-9]\'','\'(16.4-18.2]\'',yes,yes,no,not_high
'\'(800.4-950.1]\'',yes,'\'(1.25-1.5]\'',yes,'\'(-inf-1.9]\'',yes,'\'(39.2-45.4]\'','\'(0.55-0.64]\'','\'(92-104]\'','\'(7.125-inf)\'','\'(2-4]\'','\'(784-980]\'','\'(949.4-1099.2]\'','\'(3249.6-3623.8]\'','\'(13.4-14.8]\'','\'(1.8-3.6]\'','\'(16.4-18.2]\'',yes,no,no,high
'\'(1099.8-1249.5]\'',yes,'\'(1-1.25]\'',no,'\'(-inf-1.9]\'',no,'\'(26.8-33]\'','\'(0.28-0.37]\'','\'(128-140]\'','\'(1.875-2.75]\'','\'(2-4]\'','\'(-inf-196]\'','\'(949.4-1099.2]\'','\'(2501.2-2875.4]\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'','\'(12.8-14.6]\'',no,yes,no,not_high
'\'(650.7-800.4]\'',no,'\'(-inf-0.75]\'',yes,'\'(11.4-13.3]\'',yes,'\'(51.6-57.8]\'','\'(0.19-0.28]\'','\'(104-116]\'','\'(3.625-4.5]\'','\'(18-inf)\'','\'(1372-1568]\'','\'(1698.4-1848.2]\'','\'(630.2-1004.4]\'','\'(14.8-16.2]\'','\'(7.2-9]\'','\'(18.2-inf)\'',yes,no,yes,not_high
'\'(650.7-800.4]\'',no,'\'(2.75-inf)\'',no,'\'(5.7-7.6]\'',yes,'\'(-inf-8.2]\'','\'(-inf-0.19]\'','\'(92-104]\'','\'(5.375-6.25]\'','\'(18-inf)\'','\'(588-784]\'','\'(1548.6-1698.4]\'','\'(2127-2501.2]\'','\'(12-13.4]\'','\'(3.6-5.4]\'','\'(-inf-3.8]\'',yes,no,no,not_high
'\'(1848.3-inf)\'',no,'\'(-inf-0.75]\'',no,'\'(3.8-5.7]\'',yes,'\'(20.6-26.8]\'','\'(0.46-0.55]\'','\'(164-176]\'','\'(3.625-4.5]\'','\'(8-10]\'','\'(588-784]\'','\'(949.4-1099.2]\'','\'(2127-2501.2]\'','\'(7.8-9.2]\'','\'(3.6-5.4]\'','\'(7.4-9.2]\'',yes,no,yes,not_high
'\'(950.1-1099.8]\'',no,'\'(2.25-2.5]\'',yes,'\'(-inf-1.9]\'',yes,'\'(8.2-14.4]\'','\'(0.64-0.73]\'','\'(188-inf)\'','\'(4.5-5.375]\'','\'(-inf-2]\'','\'(980-1176]\'','\'(1698.4-1848.2]\'','\'(2127-2501.2]\'','\'(16.2-17.6]\'','\'(14.4-16.2]\'','\'(-inf-3.8]\'',yes,yes,yes,not_high
'\'(1249.5-1399.2]\'',no,'\'(1.75-2]\'',no,'\'(1.9-3.8]\'',no,'\'(45.4-51.6]\'','\'(-inf-0.19]\'','\'(140-152]\'','\'(-inf-1.875]\'','\'(8-10]\'','\'(392-588]\'','\'(649.8-799.6]\'','\'(2127-2501.2]\'','\'(16.2-17.6]\'','\'(9-10.8]\'','\'(-inf-3.8]\'',yes,no,no,not_high
'\'(800.4-950.1]\'',yes,'\'(2-2.25]\'',yes,'\'(-inf-1.9]\'',yes,'\'(26.8-33]\'','\'(0.46-0.55]\'','\'(176-188]\'','\'(1.875-2.75]\'','\'(-inf-2]\'','\'(-inf-196]\'','\'(649.8-799.6]\'','\'(2501.2-2875.4]\'','\'(7.8-9.2]\'','\'(3.6-5.4]\'','\'(12.8-14.6]\'',yes,yes,yes,not_high
'\'(1249.5-1399.2]\'',yes,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'',no,'\'(20.6-26.8]\'','\'(0.55-0.64]\'','\'(176-188]\'','\'(5.375-6.25]\'','\'(12-14]\'','\'(392-588]\'','\'(1398.8-1548.6]\'','\'(-inf-630.2]\'','\'(7.8-9.2]\'','\'(3.6-5.4]\'','\'(12.8-14.6]\'',yes,no,no,not_high
'\'(950.1-1099.8]\'',no,'\'(-inf-0.75]\'',no,'\'(1.9-3.8]\'',yes,'\'(33-39.2]\'','\'(0.82-0.91]\'','\'(116-128]\'','\'(3.625-4.5]\'','\'(2-4]\'','\'(392-588]\'','\'(799.6-949.4]\'','\'(1004.4-1378.6]\'','\'(14.8-16.2]\'','\'(-inf-1.8]\'','\'(9.2-11]\'',yes,no,yes,not_high
'\'(1249.5-1399.2]\'',no,'\'(1.25-1.5]\'',no,'\'(5.7-7.6]\'',no,'\'(8.2-14.4]\'','\'(-inf-0.19]\'','\'(152-164]\'','\'(1.875-2.75]\'','\'(8-10]\'','\'(392-588]\'','\'(-inf-649.8]\'','\'(-inf-630.2]\'','\'(6.4-7.8]\'','\'(-inf-1.8]\'','\'(9.2-11]\'',yes,yes,yes,not_high
'\'(800.4-950.1]\'',no,'\'(2.75-inf)\'',no,'\'(-inf-1.9]\'',no,'\'(14.4-20.6]\'','\'(0.64-0.73]\'','\'(104-116]\'','\'(3.625-4.5]\'','\'(-inf-2]\'','\'(392-588]\'','\'(949.4-1099.2]\'','\'(2127-2501.2]\'','\'(14.8-16.2]\'','\'(12.6-14.4]\'','\'(7.4-9.2]\'',yes,yes,yes,not_high
'\'(650.7-800.4]\'',yes,'\'(1.75-2]\'',no,'\'(-inf-1.9]\'',no,'\'(8.2-14.4]\'','\'(0.55-0.64]\'','\'(128-140]\'','\'(5.375-6.25]\'','\'(-inf-2]\'','\'(392-588]\'','\'(949.4-1099.2]\'','\'(3249.6-3623.8]\'','\'(17.6-inf)\'','\'(14.4-16.2]\'','\'(16.4-18.2]\'',yes,no,yes,not_high
'\'(1399.2-1548.9]\'',no,'\'(2.25-2.5]\'',no,'\'(5.7-7.6]\'',yes,'\'(-inf-8.2]\'','\'(0.82-0.91]\'','\'(92-104]\'','\'(6.25-7.125]\'','\'(16-18]\'','\'(784-980]\'','\'(949.4-1099.2]\'','\'(1004.4-1378.6]\'','\'(13.4-14.8]\'','\'(12.6-14.4]\'','\'(16.4-18.2]\'',yes,yes,no,not_high
'\'(1399.2-1548.9]\'',yes,'\'(1.5-1.75]\'',yes,'\'(1.9-3.8]\'',yes,'\'(26.8-33]\'','\'(0.64-0.73]\'','\'(116-128]\'','\'(1.875-2.75]\'','\'(4-6]\'','\'(980-1176]\'','\'(1398.8-1548.6]\'','\'(-inf-630.2]\'','\'(10.6-12]\'','\'(9-10.8]\'','\'(14.6-16.4]\'',yes,yes,no,not_high
'\'(1249.5-1399.2]\'',no,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'',yes,'\'(33-39.2]\'','\'(0.82-0.91]\'','\'(104-116]\'','\'(3.625-4.5]\'','\'(8-10]\'','\'(-inf-196]\'','\'(-inf-649.8]\'','\'(3249.6-3623.8]\'','\'(6.4-7.8]\'','\'(1.8-3.6]\'','\'(7.4-9.2]\'',yes,yes,yes,high
'\'(800.4-950.1]\'',no,'\'(-inf-0.75]\'',yes,'\'(5.7-7.6]\'',no,'\'(14.4-20.6]\'','\'(0.28-0.37]\'','\'(152-164]\'','\'(7.125-inf)\'','\'(12-14]\'','\'(-inf-196]\'','\'(1548.6-1698.4]\'','\'(2875.4-3249.6]\'','\'(6.4-7.8]\'','\'(-inf-1.8]\'','\'(3.8-5.6]\'',no,no,yes,not_high
'\'(650.7-800.4]\'',yes,'\'(1.75-2]\'',yes,'\'(-inf-1.9]\'',yes,'\'(39.2-45.4]\'','\'(0.28-0.37]\'','\'(116-128]\'','\'(7.125-inf)\'','\'(-inf-2]\'','\'(-inf-196]\'','\'(1099.2-1249]\'','\'(1004.4-1378.6]\'','\'(10.6-12]\'','\'(7.2-9]\'','\'(-inf-3.8]\'',yes,yes,yes,not_high
'\'(1548.9-1698.6]\'',yes,'\'(1.75-2]\'',yes,'\'(9.5-11.4]\'',no,'\'(51.6-57.8]\'','\'(-inf-0.19]\'','\'(128-140]\'','\'(1.875-2.75]\'','\'(12-14]\'','\'(392-588]\'','\'(1698.4-1848.2]\'','\'(3249.6-3623.8]\'','\'(16.2-17.6]\'','\'(10.8-12.6]\'','\'(11-12.8]\'',yes,yes,yes,high
'\'(-inf-650.7]\'',no,'\'(2.5-2.75]\'',yes,'\'(1.9-3.8]\'',no,'\'(39.2-45.4]\'','\'(0.73-0.82]\'','\'(128-140]\'','\'(7.125-inf)\'','\'(2-4]\'','\'(196-392]\'','\'(1698.4-1848.2]\'','\'(2875.4-3249.6]\'','\'(9.2-10.6]\'','\'(3.6-5.4]\'','\'(16.4-18.2]\'',yes,no,no,not_high
'\'(1099.8-1249.5]\'',no,'\'(1.25-1.5]\'',no,'\'(1.9-3.8]\'',yes,'\'(8.2-14.4]\'','\'(0.28-0.37]\'','\'(152-164]\'','\'(7.125-inf)\'','\'(4-6]\'','\'(784-980]\'','\'(1848.2-inf)\'','\'(-inf-630.2]\'','\'(7.8-9.2]\'','\'(5.4-7.2]\'','\'(14.6-16.4]\'',yes,no,no,not_high
'\'(950.1-1099.8]\'',no,'\'(1.5-1.75]\'',no,'\'(5.7-7.6]\'',no,'\'(45.4-51.6]\'','\'(0.55-0.64]\'','\'(128-140]\'','\'(-inf-1.875]\'','\'(16-18]\'','\'(588-784]\'','\'(1848.2-inf)\'','\'(1378.6-1752.8]\'','\'(6.4-7.8]\'','\'(-inf-1.8]\'','\'(7.4-9.2]\'',no,yes,no,not_high
'\'(1848.3-inf)\'',no,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',yes,'\'(20.6-26.8]\'','\'(-inf-0.19]\'','\'(152-164]\'','\'(4.5-5.375]\'','\'(-inf-2]\'','\'(196-392]\'','\'(1099.2-1249]\'','\'(1752.8-2127]\'','\'(16.2-17.6]\'','\'(5.4-7.2]\'','\'(9.2-11]\'',yes,yes,no,not_high
'\'(1698.6-1848.3]\'',no,'\'(2.5-2.75]\'',yes,'\'(7.6-9.5]\'',yes,'\'(14.4-20.6]\'','\'(0.55-0.64]\'','\'(116-128]\'','\'(5.375-6.25]\'','\'(18-inf)\'','\'(-inf-196]\'','\'(1848.2-inf)\'','\'(1004.4-1378.6]\'','\'(14.8-16.2]\'','\'(1.8-3.6]\'','\'(3.8-5.6]\'',yes,yes,no,not_high
'\'(1848.3-inf)\'',yes,'\'(1.75-2]\'',no,'\'(1.9-3.8]\'',yes,'\'(51.6-57.8]\'','\'(0.28-0.37]\'','\'(152-164]\'','\'(1.875-2.75]\'','\'(6-8]\'','\'(588-784]\'','\'(649.8-799.6]\'','\'(-inf-630.2]\'','\'(16.2-17.6]\'','\'(10.8-12.6]\'','\'(-inf-3.8]\'',yes,no,no,not_high
'\'(1099.8-1249.5]\'',yes,'\'(2.25-2.5]\'',yes,'\'(-inf-1.9]\'',no,'\'(14.4-20.6]\'','\'(-inf-0.19]\'','\'(116-128]\'','\'(1.875-2.75]\'','\'(-inf-2]\'','\'(392-588]\'','\'(1698.4-1848.2]\'','\'(-inf-630.2]\'','\'(17.6-inf)\'','\'(-inf-1.8]\'','\'(-inf-3.8]\'',no,no,no,not_high
'\'(1099.8-1249.5]\'',yes,'\'(1.5-1.75]\'',yes,'\'(1.9-3.8]\'',no,'\'(14.4-20.6]\'','\'(0.28-0.37]\'','\'(164-176]\'','\'(6.25-7.125]\'','\'(18-inf)\'','\'(196-392]\'','\'(649.8-799.6]\'','\'(-inf-630.2]\'','\'(-inf-6.4]\'','\'(3.6-5.4]\'','\'(7.4-9.2]\'',no,no,no,not_high
'\'(950.1-1099.8]\'',no,'\'(1.75-2]\'',no,'\'(-inf-1.9]\'',yes,'\'(20.6-26.8]\'','\'(0.64-0.73]\'','\'(-inf-92]\'','\'(7.125-inf)\'','\'(-inf-2]\'','\'(196-392]\'','\'(1099.2-1249]\'','\'(2501.2-2875.4]\'','\'(16.2-17.6]\'','\'(14.4-16.2]\'','\'(3.8-5.6]\'',yes,yes,no,not_high
'\'(1848.3-inf)\'',yes,'\'(2.25-2.5]\'',yes,'\'(5.7-7.6]\'',no,'\'(45.4-51.6]\'','\'(-inf-0.19]\'','\'(188-inf)\'','\'(3.625-4.5]\'','\'(8-10]\'','\'(588-784]\'','\'(799.6-949.4]\'','\'(630.2-1004.4]\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'','\'(-inf-3.8]\'',no,no,yes,not_high
'\'(1848.3-inf)\'',yes,'\'(-inf-0.75]\'',yes,'\'(9.5-11.4]\'',no,'\'(-inf-8.2]\'','\'(-inf-0.19]\'','\'(140-152]\'','\'(-inf-1.875]\'','\'(12-14]\'','\'(588-784]\'','\'(799.6-949.4]\'','\'(2875.4-3249.6]\'','\'(9.2-10.6]\'','\'(7.2-9]\'','\'(9.2-11]\'',yes,yes,no,high
'\'(-inf-650.7]\'',yes,'\'(2.5-2.75]\'',yes,'\'(3.8-5.7]\'',no,'\'(20.6-26.8]\'','\'(0.91-inf)\'','\'(152-164]\'','\'(4.5-5.375]\'','\'(14-16]\'','\'(392-588]\'','\'(1548.6-1698.4]\'','\'(1378.6-1752.8]\'','\'(6.4-7.8]\'','\'(1.8-3.6]\'','\'(-inf-3.8]\'',no,yes,no,not_high
'\'(950.1-1099.8]\'',no,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'',yes,'\'(26.8-33]\'','\'(0.55-0.64]\'','\'(164-176]\'','\'(1.875-2.75]\'','\'(10-12]\'','\'(1176-1372]\'','\'(1398.8-1548.6]\'','\'(1378.6-1752.8]\'','\'(10.6-12]\'','\'(-inf-1.8]\'','\'(5.6-7.4]\'',yes,yes,no,not_high
'\'(1848.3-inf)\'',yes,'\'(1.75-2]\'',no,'\'(9.5-11.4]\'',no,'\'(33-39.2]\'','\'(-inf-0.19]\'','\'(188-inf)\'','\'(3.625-4.5]\'','\'(12-14]\'','\'(784-980]\'','\'(1848.2-inf)\'','\'(1752.8-2127]\'','\'(16.2-17.6]\'','\'(5.4-7.2]\'','\'(14.6-16.4]\'',no,yes,no,not_high
'\'(1698.6-1848.3]\'',no,'\'(1-1.25]\'',no,'\'(1.9-3.8]\'',no,'\'(8.2-14.4]\'','\'(0.64-0.73]\'','\'(-inf-92]\'','\'(1.875-2.75]\'','\'(6-8]\'','\'(784-980]\'','\'(1099.2-1249]\'','\'(3623.8-inf)\'','\'(-inf-6.4]\'','\'(3.6-5.4]\'','\'(16.4-18.2]\'',yes,no,no,high
'\'(1548.9-1698.6]\'',no,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',yes,'\'(33-39.2]\'','\'(0.82-0.91]\'','\'(-inf-92]\'','\'(7.125-inf)\'','\'(10-12]\'','\'(588-784]\'','\'(1698.4-1848.2]\'','\'(2875.4-3249.6]\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'','\'(9.2-11]\'',yes,no,yes,high
'\'(1698.6-1848.3]\'',no,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'',no,'\'(-inf-8.2]\'','\'(0.82-0.91]\'','\'(188-inf)\'','\'(5.375-6.25]\'','\'(10-12]\'','\'(392-588]\'','\'(1548.6-1698.4]\'','\'(2127-2501.2]\'','\'(7.8-9.2]\'','\'(5.4-7.2]\'','\'(12.8-14.6]\'',no,yes,no,not_high
'\'(800.4-950.1]\'',no,'\'(-inf-0.75]\'',no,'\'(1.9-3.8]\'',no,'\'(57.8-inf)\'','\'(0.64-0.73]\'','\'(176-188]\'','\'(3.625-4.5]\'','\'(18-inf)\'','\'(588-784]\'','\'(1548.6-1698.4]\'','\'(1752.8-2127]\'','\'(16.2-17.6]\'','\'(3.6-5.4]\'','\'(16.4-18.2]\'',no,no,no,not_high
'\'(1848.3-inf)\'',no,'\'(2-2.25]\'',no,'\'(-inf-1.9]\'',yes,'\'(-inf-8.2]\'','\'(-inf-0.19]\'','\'(140-152]\'','\'(-inf-1.875]\'','\'(-inf-2]\'','\'(196-392]\'','\'(1398.8-1548.6]\'','\'(2127-2501.2]\'','\'(9.2-10.6]\'','\'(-inf-1.8]\'','\'(9.2-11]\'',yes,no,no,not_high
'\'(-inf-650.7]\'',yes,'\'(-inf-0.75]\'',no,'\'(15.2-17.1]\'',yes,'\'(39.2-45.4]\'','\'(0.28-0.37]\'','\'(116-128]\'','\'(6.25-7.125]\'','\'(16-18]\'','\'(784-980]\'','\'(1099.2-1249]\'','\'(1752.8-2127]\'','\'(10.6-12]\'','\'(1.8-3.6]\'','\'(5.6-7.4]\'',yes,yes,yes,not_high
'\'(1099.8-1249.5]\'',no,'\'(2.75-inf)\'',yes,'\'(9.5-11.4]\'',yes,'\'(26.8-33]\'','\'(0.55-0.64]\'','\'(116-128]\'','\'(2.75-3.625]\'','\'(12-14]\'','\'(1568-1764]\'','\'(1698.4-1848.2]\'','\'(1752.8-2127]\'','\'(6.4-7.8]\'','\'(-inf-1.8]\'','\'(3.8-5.6]\'',yes,no,yes,not_high
'\'(800.4-950.1]\'',yes,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',yes,'\'(-inf-8.2]\'','\'(-inf-0.19]\'','\'(164-176]\'','\'(4.5-5.375]\'','\'(-inf-2]\'','\'(-inf-196]\'','\'(1848.2-inf)\'','\'(3623.8-inf)\'','\'(10.6-12]\'','\'(3.6-5.4]\'','\'(12.8-14.6]\'',yes,yes,yes,high
'\'(800.4-950.1]\'',yes,'\'(2.75-inf)\'',no,'\'(-inf-1.9]\'',no,'\'(-inf-8.2]\'','\'(-inf-0.19]\'','\'(92-104]\'','\'(6.25-7.125]\'','\'(2-4]\'','\'(-inf-196]\'','\'(1249-1398.8]\'','\'(-inf-630.2]\'','\'(9.2-10.6]\'','\'(5.4-7.2]\'','\'(14.6-16.4]\'',yes,yes,yes,not_high
'\'(1848.3-inf)\'',no,'\'(2.75-inf)\'',no,'\'(-inf-1.9]\'',no,'\'(51.6-57.8]\'','\'(0.64-0.73]\'','\'(104-116]\'','\'(5.375-6.25]\'','\'(-inf-2]\'','\'(-inf-196]\'','\'(1099.2-1249]\'','\'(2501.2-2875.4]\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'','\'(7.4-9.2]\'',yes,no,no,not_high
'\'(1099.8-1249.5]\'',yes,'\'(-inf-0.75]\'',no,'\'(5.7-7.6]\'',no,'\'(57.8-inf)\'','\'(0.46-0.55]\'','\'(-inf-92]\'','\'(-inf-1.875]\'','\'(10-12]\'','\'(392-588]\'','\'(-inf-649.8]\'','\'(3623.8-inf)\'','\'(7.8-9.2]\'','\'(5.4-7.2]\'','\'(5.6-7.4]\'',yes,no,yes,high
'\'(1698.6-1848.3]\'',yes,'\'(2-2.25]\'',yes,'\'(9.5-11.4]\'',no,'\'(33-39.2]\'','\'(-inf-0.19]\'','\'(164-176]\'','\'(3.625-4.5]\'','\'(14-16]\'','\'(196-392]\'','\'(-inf-649.8]\'','\'(1752.8-2127]\'','\'(14.8-16.2]\'','\'(12.6-14.4]\'','\'(18.2-inf)\'',yes,yes,yes,not_high
'\'(1249.5-1399.2]\'',yes,'\'(1-1.25]\'',no,'\'(1.9-3.8]\'',yes,'\'(26.8-33]\'','\'(0.19-0.28]\'','\'(128-140]\'','\'(1.875-2.75]\'','\'(8-10]\'','\'(1176-1372]\'','\'(1249-1398.8]\'','\'(630.2-1004.4]\'','\'(13.4-14.8]\'','\'(-inf-1.8]\'','\'(14.6-16.4]\'',yes,yes,yes,not_high
'\'(1399.2-1548.9]\'',no,'\'(1.5-1.75]\'',yes,'\'(3.8-5.7]\'',yes,'\'(20.6-26.8]\'','\'(0.19-0.28]\'','\'(92-104]\'','\'(-inf-1.875]\'','\'(16-18]\'','\'(784-980]\'','\'(1099.2-1249]\'','\'(3249.6-3623.8]\'','\'(14.8-16.2]\'','\'(10.8-12.6]\'','\'(7.4-9.2]\'',yes,no,no,high
'\'(950.1-1099.8]\'',yes,'\'(2-2.25]\'',yes,'\'(-inf-1.9]\'',yes,'\'(33-39.2]\'','\'(0.46-0.55]\'','\'(116-128]\'','\'(7.125-inf)\'','\'(16-18]\'','\'(-inf-196]\'','\'(1848.2-inf)\'','\'(1752.8-2127]\'','\'(10.6-12]\'','\'(5.4-7.2]\'','\'(14.6-16.4]\'',yes,yes,no,not_high
'\'(1099.8-1249.5]\'',yes,'\'(0.75-1]\'',no,'\'(-inf-1.9]\'',no,'\'(-inf-8.2]\'','\'(0.82-0.91]\'','\'(152-164]\'','\'(4.5-5.375]\'','\'(16-18]\'','\'(784-980]\'','\'(1398.8-1548.6]\'','\'(-inf-630.2]\'','\'(7.8-9.2]\'','\'(5.4-7.2]\'','\'(16.4-18.2]\'',no,no,yes,not_high
'\'(-inf-650.7]\'',no,'\'(1.75-2]\'',no,'\'(7.6-9.5]\'',no,'\'(26.8-33]\'','\'(0.37-0.46]\'','\'(164-176]\'','\'(7.125-inf)\'','\'(12-14]\'','\'(196-392]\'','\'(649.8-799.6]\'','\'(3249.6-3623.8]\'','\'(14.8-16.2]\'','\'(5.4-7.2]\'','\'(12.8-14.6]\'',no,yes,yes,not_high
'\'(-inf-650.7]\'',no,'\'(-inf-0.75]\'',yes,'\'(1.9-3.8]\'',no,'\'(14.4-20.6]\'','\'(0.19-0.28]\'','\'(-inf-92]\'','\'(5.375-6.25]\'','\'(2-4]\'','\'(196-392]\'','\'(649.8-799.6]\'','\'(2501.2-2875.4]\'','\'(16.2-17.6]\'','\'(14.4-16.2]\'','\'(14.6-16.4]\'',no,no,no,not_high
'\'(650.7-800.4]\'',no,'\'(1.5-1.75]\'',yes,'\'(-inf-1.9]\'',yes,'\'(26.8-33]\'','\'(0.46-0.55]\'','\'(104-116]\'','\'(3.625-4.5]\'','\'(-inf-2]\'','\'(1176-1372]\'','\'(1848.2-inf)\'','\'(2501.2-2875.4]\'','\'(7.8-9.2]\'','\'(1.8-3.6]\'','\'(18.2-inf)\'',yes,no,no,not_high
'\'(1099.8-1249.5]\'',yes,'\'(0.75-1]\'',yes,'\'(7.6-9.5]\'',yes,'\'(20.6-26.8]\'','\'(0.55-0.64]\'','\'(104-116]\'','\'(1.875-2.75]\'','\'(8-10]\'','\'(980-1176]\'','\'(1698.4-1848.2]\'','\'(1378.6-1752.8]\'','\'(10.6-12]\'','\'(-inf-1.8]\'','\'(12.8-14.6]\'',yes,yes,no,not_high
'\'(1099.8-1249.5]\'',no,'\'(2.25-2.5]\'',yes,'\'(-inf-1.9]\'',yes,'\'(57.8-inf)\'','\'(0.28-0.37]\'','\'(164-176]\'','\'(4.5-5.375]\'','\'(18-inf)\'','\'(588-784]\'','\'(649.8-799.6]\'','\'(2875.4-3249.6]\'','\'(9.2-10.6]\'','\'(5.4-7.2]\'','\'(9.2-11]\'',yes,no,no,not_high
'\'(1698.6-1848.3]\'',no,'\'(2.5-2.75]\'',no,'\'(11.4-13.3]\'',yes,'\'(39.2-45.4]\'','\'(0.64-0.73]\'','\'(164-176]\'','\'(4.5-5.375]\'','\'(16-18]\'','\'(588-784]\'','\'(1398.8-1548.6]\'','\'(2501.2-2875.4]\'','\'(17.6-inf)\'','\'(7.2-9]\'','\'(5.6-7.4]\'',yes,yes,yes,high
